nink_id,object,address,region_name,declared,announced,group,type,category,removed,is_removed,changes,lng,lat,heading,pitch,zoom,centroid_lng,centroid_lat,zone_id,zone_name
21,"Паметник на Одринската епопея, градината /в парка ""Владо Тричков""","ул.”Опълченска”/ ул.”Цар Симеон” ул.”Жданов” /""Пиротска""",Възраждане,писмо №2637 от 07.06.1988г.,“Известия” бр.73 от 1955 г.,,художествен  ; исторически и мемориален,местно; национал-но,,0,,,,,,,23.309757478085,42.70231419500892,Ж-5,Зона на Работническото Движение
22,"Училищна сграда, б.Прогимназия “Хр.Ботев”, градината на църквата “Св.Николай Софийски”","Ул.”Жданов” /""Пиротска"" № 78",Възраждане,писмо №1787 от 21.05.1976г. /№ 930/,ДВ бр.40 от 1978 г. /№499/,,архитектурно-строителен ,местно,,0,,23.308079684582022,42.70157788820958,11.855777632326044,9.500650448477124,1.0,23.308203776987146,42.701837657861155,Ж-5,Зона на Работническото Движение
23,Хотелска сграда /хотел “Люлин”/,ул.”Триадица”    № 2                 /нов № 6/ ул.”Сердика”,Оборище,писмо №1787 от 21.05.1976г. /№ 140/,ДВ бр.40 от 1978 г. /№20/,,архитектурно-строителен ,местно,,0,,23.32457931890804,42.698714658356536,122.09693009183924,21.587975135681045,1.33,23.324883356196096,42.69858412325589,А-1,Зона на Исторически Развилия се Градски Център
24,Жилищно-административно- търговска сграда /бивш хотел/,ул.”Сердика”      № 14 / ул.”Искър”,Оборище,писмо №1787 от 21.05.1976г. /№ 143/,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.324526576173863,42.69932189590096,124.6050560958821,24.297930549861228,1.0,23.32470060770559,42.69919280969405,А-1,Зона на Исторически Развилия се Градски Център
25,Жилищна кооперативна палата “Мусала”,"ул.”Сердика”      № 12 /вх.А,Б,В/ ул.”Триадица”",Оборище,писмо №1787 от 21.05.1976г. /№ 142/ п.№2637 от 07.06.88г.,ДВ бр.40 от 1978 г. /№19/,,архитектурно-строителен  художествен ,местно,,0,,23.32457931890804,42.698714658356536,47.0118410323564,25.72809938027897,1.33,23.324754137249954,42.69875233714776,А-1,Зона на Исторически Развилия се Градски Център
26,"Административ-но-търговска сграда, б.хотел “Преслав” /хотел ""Сплендит Палас""/",ул.”Триадица” № 5 / ул.”Веслец”,Оборище,писмо №1787 от 21.05.1976г. /№ 141/,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.325803026954194,42.69872235017629,-40.39207441035373,21.732144234741938,1.33,23.325579454721254,42.69889281307612,А-1,Зона на Исторически Развилия се Градски Център
27,"Административ-на сграда, б. доходно здание",ул.”Искър” №14,Оборище,писмо №1787 от 21.05.1976г. /№ 861/,ДВ бр.40 от 1978 г. /№481/,,архитектурно-строителен ,местно,,0,,23.32703886703825,42.69959791927326,155.9300488780993,11.066143276082755,1.33,23.327105315136905,42.69948298101462,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
28,"Жилищна сграда, б. на Савов",ул.”Будапеща” №7,Оборище,писмо №1787 от 21.05.1976г. /№ 538/,ДВ бр.40 от 1978 г. /№429/,,архитектурно-строителен ,местно,,0,,23.327870816406058,42.69860292331668,-51.63911092648382,15.625273117257308,1.33,23.32769764799236,42.69867851443967,А-1,Зона на Исторически Развилия се Градски Център
29,"Жилищно-търговска сграда, б. на проф. Георгов",бул.”Дондуков”  № 45,Оборище,писмо №1787 от 21.05.1976г. /№ 536/,ДВ бр.40 от 1978 г. /№431/,,архитектурно-строителен ,местно,,0,,23.32796370000005,42.6980376,-39.46160483608487,23.161912164642974,1.0,23.32775304522224,42.698209362690065,А-1,Зона на Исторически Развилия се Градски Център
30,Жилищно-търговска сграда,"ул.”Будапеща” №5 бул.""Дондуков"" №13",Оборище,писмо №1787 от 21.05.1976г. /№ 537/,ДВ бр.40 от 1978 г. /№430/,,архитектурно-строителен ,местно,,0,,23.3278860222415,42.698510375785105,-96.98716213862075,4.089734340393697,0.33,23.327729105944847,42.69835223949373,А-1,Зона на Исторически Развилия се Градски Център
31,"Административ-на сграда, б.Пражка кредитна банка","бул.”Дондуков”   № 39 / ул.”Бачо Киро”  бул.""Дондуков"" №9",Оборище,писмо №1787 от 21.05.1976г. /№ 535/; писмо №2637 от 07.06.1988г,ДВ бр.40 от 1978 г. /№432,,архитектурно-строителен  ; художествен,местно,,0,,23.326924899999995,42.697929200000004,39.13565522145129,21.41505259819617,1.33,23.327083125760165,42.698160804555165,А-1,Зона на Исторически Развилия се Градски Център
32,Жилищна сграда свалена,ул.”Бачо Киро”   № 8,Оборище,писмо №2637 от 07.06.1988г,,,архитектурно-строителен  ,местно /предв.кат./,писмо № 51 от 12.01.2004г.,1,,23.32678869999995,42.69880379999999,63.48549152403973,16.09737712931896,1.0,23.326929993793378,42.698925460836996,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
33,"Жилищна сграда, б.на Алкалай",ул.”Будапеща” №18,Оборище,писмо №1787 от 21.05.1976г. /№ 836/,ДВ бр.40 от 1978 г. /№484/,,архитектурно-строителен  ,местно,,0,,23.32776413273268,42.699252226140025,54.50079302782661,9.063496328692935,1.66,23.32803991588529,42.69934049795106,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
34,"Жилищна сграда, б.на Георги Аврамов свалена",ул.”Искър”         № 18 /ул.”Будапеща”,Оборище,писмо №1787 от 21.05.1976г. /№ 862/,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32786577700278,42.69968379673423,-187.7425104037261,9.732608328700914,1.0,23.32778186089791,42.699550653476855,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
35,"Жилищна сграда, б.доходно здание на Хугасян",ул.”Бенковски”   № 21 ,Оборище,писмо №1787 от 21.05.76г. /№ 864/,ДВ бр.40 от 1978 г. /№483/,,архитектурно-строителен  ,местно,,0,,23.328666840384933,42.699260917404644,-100.8934495411643,35.02491190484568,1.0,23.32846938302048,42.69926014725879,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
36,"Жилищна сграда, б.на Стефан Наумов",ул.”Бенковски”   № 17,Оборище,писмо №1787 от 21.05.1976г. /№ 865/,ДВ бр.40 от 1978 г. /№483/,,архитектурно-строителен  ,местно,,0,,23.328723899999996,42.6989853,-96.3426893494518,15.432003993533858,0.33,23.328563427593107,42.698984975943375,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
37,"Административно-търговска сграда, б.печатница на Самуел Патак свалена",ул.”Бенковски”   № 11,Оборище,писмо №1787 от 21.05.1976г. /№ 541/,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.328815455860877,42.69857187338386,-95.16362544577105,24.693220456091165,0.33,23.32853666012131,42.6986756680871,А-1,Зона на Исторически Развилия се Градски Център
38,Учебна сграда на Държавното хореографско училище,Бул.”Дондуков” №51,Оборище,писмо №1787 от 21.05.1976г. /№ 539/,,,архитектурно-строителен  ,местно /предв.кат./,,0,,23.328596192636947,42.698097869912424,-7.533615867984439,22.11015083930299,0.66,23.328599424041688,42.69827191904467,А-1,Зона на Исторически Развилия се Градски Център
39,"Жилищна сграда, б.на Яшаров свалена",Ул.”Бенковски” №24,Оборище,писмо №1787 от 21.05.1976г. /№ 866/,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32870549367249,42.6990742088402,53.622167177793756,5.013249743240849,1.99,23.32902097575628,42.699249423856614,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
40,"Жилищно-търговска сграда, б.на Олга Футикова",Бул.”Дондуков” №53 /№№21А-23/,Оборище,писмо №1787 от 21.05.1976г. /№ 543/,ДВ бр.40 от 1978г. №427,,архитектурно-строителен  ,местно,,0,,23.328855924398113,42.698122618339134,35.295701254668174,15.886868786681845,1.66,23.32900427135927,42.69832585890127,А-1,Зона на Исторически Развилия се Градски Център
41,Сграда на пожарната команда свалена,Ул.”Раковски/ ул.”Екзарх Йосиф”,Оборище,писмо №2637 от 07.06.1988г,,,архитектурно-строителен и исторически  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32952068221653,42.70066194941161,-132.7008748044889,11.892053144875984,2.0,23.328792960593297,42.70041861317932,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
42,"Жилищна сграда, б.на Григор Коцев",Ул.”Бенковски” №25,Оборище,писмо №1787 от 21.05.1976г. /№ 867/,ДВ бр.40 от 1978г. /№485/,,архитектурно-строителен  ,местно,,0,,23.32848273417415,42.70016452879946,-98.10885469274962,11.371793460025609,2.0,23.328168319496893,42.70012080441726,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
43,"Административно-търговска сграда, б.Доходно здание свалена",Ул.”Искър” №11,Оборище,писмо №2637 от 07.06.1988г,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.326148656281017,42.699528112210274,-4.951730737988373,19.132850897111133,1.0,23.326138913292137,42.69962966317408,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
44,"Административна сграда, б.на Янакиев свалена",Ул.”Сердика” №20,Оборище,писмо №2637 от 07.06.1988г,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.324348345551012,42.7001277637747,124.65879373120654,20.05888188367024,1.33,23.32456771456735,42.70001541756204,А-1,Зона на Исторически Развилия се Градски Център
45,"Жилищно-търговска сграда, б.на братя Белгар",Ул.”Екзарх Йосиф” №22,Оборище,писмо №2637 от 07.06.1988г,,,архитектурно-строителен  исторически,местно /предв.кат./,,0,,23.324863504024957,42.70018159666772,-186.8923995451878,17.311454660123236,1.0,23.32486528432506,42.7000814005165,А-1,Зона на Исторически Развилия се Градски Център
46,Административна сграда с кино “Севастопол” свалена,Ул.”Екзарх Йосиф” №35,Оборище,писмо №1787 от 21.05.1976г. /№597/,,,архитектурно-строителен  ,местно /предв.кат./,писмо №3759 от 24.07.1992г.,1,,23.323749300000035,42.70007929999999,-18.74768613042932,9.363936160944808,1.66,23.323610171154126,42.700320881583,А-2,Зона на Старите Пазарища
47,"Административна сграда с кино “София”, б.кино “Глория”","Бул.”Г.Димитров” /""Княгиня Мария Луиза""/ №20",Оборище,писмо №1787 от 21.05.1976г. /№594/,,,архитектурно-строителен  ,местно /предв.кат./,,0,,23.3226149963798,42.70077270162939,102.92305004959492,17.977731097133702,1.33,23.322926546951052,42.70076086329419,А-2,Зона на Старите Пазарища
48,"Жилищна сграда - клуб, б.редакция на “Работнически вестник” и клуб на ЦК на БРСДП","ул.""Цар Симеон"" № 53",Оборище,писмо №2637 от 07.06.1988г,“Известия” бр.73 от 1955г.,,свалена като исторически остава архитектурно-строителен ,"свалено национално остава ""ансамблово значение""",,0,"Заповед № РД9Р-46 от 06.11.2015 ДВ бр.90 от 2015 г. - свалена като истор. остава арх.-стр.""ансамблово значение""  ",23.32476036734261,42.70104206463006,167.7111652743345,3.383628591789784,1.0,23.324803816118898,42.70093121497724,А-2,Зона на Старите Пазарища
49,Жилищна сграда свалена,Ул.”Сердика” №28 /”Цар Симеон”,Оборище,писмо №1787 от 21.05.1976г. /№593/,,,архитектурно-строителен  ,за сведение /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.324235600000065,42.7009854,129.43099895257797,13.119782686981386,1.33,23.324418282434877,42.700878946035175,А-2,Зона на Старите Пазарища
50,Жилищно-търговска сграда свалена,Ул.”Веслец” №23,Оборище,писмо №2637 от 07.06.1988г,,,архитектурно-строителен  ,за сведение /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.325452918632326,42.70086735445632,-113.42245561452846,29.707770232970386,1.0,23.325303893943353,42.70083926473755,А-2,Зона на Старите Пазарища
51,Жилищна сграда свалена,Ул.”Бачо Киро”   №31,Оборище,писмо №1787 от 21.05.1976г. /№860/,,,архитектурно-строителен  ,за сведение /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32644712331171,42.700806324123825,-97.0822946711878,15.00516382561539,0.66,23.32626563151685,42.70081679176681,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
52,Жилищна сграда свалена,Ул.”Бачо Киро” №29,Оборище,писмо №2637 от 07.06.1988г,,,архитектурно-строителен  ,за сведение /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.326478682797298,42.700627961722326,-70.62229872825823,12.61984529734885,1.0,23.326319093680883,42.70068607626286,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
53,"Жилищно-търговска сграда, б.на Езра Арие свалена",Ул.”Бачо Киро” №26/ ул.”Екзарх Йосиф”,Оборище,писмо №1787 от 21.05.1976г. №860,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32651024228289,42.70044959932083,81.12752130879555,17.577882427747674,0.66,23.326693953092793,42.700552601472346,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
54,Жилищна сграда свалена,Ул.”Бачо Киро” №30,Оборище,писмо №2637 от 07.06.1988г,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32646290305445,42.700717142923075,48.7824557664054,8.812932418322399,1.0,23.326579147943608,42.700888480923865,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
55,Жилищна кооперация ”Здраве” свалена,ул.”Будапеща” №23,Оборище,писмо №2637 от 07.06.1988г,,,архитектурно-строителен и художествен,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32742926921821,42.70108131309065,-121.45501341666863,15.30496256803098,1.0,23.32717524232829,42.70101514971421,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
56,Църква “Св.Параскева”,Ул.”Бенковски” №32,Оборище,писмо №1787 от 21.05.1976г. /№868/,ДВ бр.40 от 1978г. /№488/,,архитектурно-строителен и художествен,местно,,0,,23.32882050773037,42.70149377985569,-186.21152866142728,15.626821723767193,1.0,23.328825073782518,42.70123525300299,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
57,Жилищна сграда с паметна плоча за Георги Димитров свалена,Ул.”Екзарх Йосиф” №75,Оборище,писмо №2637 от 07.06.1988г,,,исторически,местно /предв.кат./,писмо №10298 от 23.11.2000г.,1,,,,,,,23.32893940193918,42.70074315333678,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
58,Жилищна сграда,Ул.”Цар Симеон” №48,Оборище,писмо №1787 от 21.05.1976г. /№870/,ДВ бр.40 от 1978г. /№487/,,архитектурно-строителен  ,местно ,,0,,23.327933470796093,42.70137872743983,-31.544046033450417,9.379949318193772,0.66,23.327864855490706,42.70146025154261,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
59,Жилищна сграда,Ул.”Цар Симеон” №52/ ул.”Будапеща”,Оборище,писмо №1787 от 21.05.1976г. /№869/,ДВ бр.40 от 1978г. /№486/,,архитектурно-строителен  ,местно ,,0,,23.32739212678598,42.7012759935349,30.434777429139764,15.56350919285624,1.66,23.327500711909764,42.70141389381169,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
60,Жилищна сграда свалена,Ул.”Будапеща” №36,Оборище,писмо №2637 от 07.06.1988г,,,архитектурно-строителен  ,за сведение /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32733537207605,42.701575755219174,75.50121647947965,18.467149979310925,0.66,23.32747504139003,42.70158530391621,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
61,Жилищна сграда свалена,Ул.”Бенковски” №55,Оборище,писмо №1787 от 21.05.1976г. /№871/,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32802386864796,42.70245934350191,-95.82110221491733,21.885938103326122,0.33,23.32785434299751,42.70247910110517,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
62,Жилищна сграда свалена,Ул.”Будапеща” №41,Оборище,писмо №1787 от 21.05.1976г. /№872/,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32717539573844,42.70247768875154,-89.35937171695664,2.9504346174782836,1.66,23.326758265950208,42.70239471486087,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
63,Жилищна сграда свалена,Ул.”Св.св.Кирил и Методий” №37,Оборище,писмо №1787 от 21.05.1976г. /№873/,,,архитектурно-строителен  ,за сведение /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.32681823070311,42.70269552223354,-170.46180432148364,19.095052917222,0.6699999999999999,23.326739790988103,42.70260671436857,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
64,Жилищна сграда с б.печатница на Чипев свалена,Ул.”Бачо Киро” №47,Оборище,писмо №4167 от 10.07.1987г. /№24/,,,архитектурно-строителен и исторически ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.326145706729218,42.7023218712359,-111.21558555487071,24.61427492974075,0.6699999999999999,23.32598639584828,42.70232845224327,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
65,Жилищна сграда свалена,Ул.”Бачо Киро” №41,Оборище,писмо №4167 от 10.07.1987г. /№23/,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.326220763056316,42.701939117496536,-128.84295170245232,3.7776073624028887,1.0,23.326037782836732,42.701928718927796,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
66,Жилищна сграда,Ул.”Бачо Киро” №39,Оборище,писмо №4167 от 10.07.1987г. /№22/,,,архитектурно-строителен и исторически ,местно /предв.кат./,,0,,23.32626541733407,42.70172586175556,-116.99167646721844,13.347177814877035,0.66,23.326113890101578,42.70171334245813,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
67,Жилищна сграда свалена,"Ул.”Св.св.Кирил и Методий” №№43,45",Оборище,писмо №4167 от 10.07.1987г. /№14/,,,архитектурно-строителен  ,местно /предв.кат./,писмо №7308 от 18.08.2005г.,1,,23.325515113673873,42.70256835280645,149.3850200596322,22.803408921351885,0.6699999999999999,23.325578545090895,42.702492636765456,А-2,Зона на Старите Пазарища
68,Жилищна сграда с паметна плоча на Георги Мишков свалена,Ул.”Бачо Киро” №33/         ул.”Цар Симеон”,Оборище,писмо №1787 от 21.05.76г. /№859/,,,исторически,за сведение /предв.кат./,писмо №10298 от 23.11.2000г.,1,,23.32643705926102,42.701211405246454,-60.52594273197508,5.733828209096205,1.66,23.32620871669305,42.701297113074574,Ж-3,"Жилищна Зона ""Дондуков - Сливница"""
69,Жилищно-търговска сграда,Ул.”Цар Симеон” №74,Оборище,писмо №1787 от 21.05.76г. №591,,,архитектурно-строителен  ,местно /предв.кат./,,0,,23.324641196548786,42.701028255822884,-35.31963132511455,22.19525101719058,0.6699999999999999,23.324582172273654,42.701115634219924,А-2,Зона на Старите Пазарища
70,Жилищно-търговска сграда,Ул.”Цар Симеон” №72,Оборище,писмо №1787 от 21.05.76г. №590,,,архитектурно-строителен  ,местно /предв.кат./,,0,,23.32476036734261,42.70104206463006,-18.849952437112428,23.488649353443662,0.6699999999999999,23.32473297525749,42.70113938248694,А-2,Зона на Старите Пазарища
71,Жилищна сграда,Ул.”Веслец” №27,Оборище,писмо №4167 от 10.07.87г. №1,,,архитектурно-строителен  ,местно /предв.кат./,,0,,23.32529849378125,42.70164511609072,-118.80705309815181,6.197092966532057,1.0,23.325170510395523,42.70158177670026,А-2,Зона на Старите Пазарища
72,"Жилищна сграда, б.на Янаки Караджов свалена","Ул.”Св.св. Кирил и Методий” №51,51а",Оборище,,ДВ бр.40 от 1978г. №378,,архитектурно-строителен  ,местно,ДВ бр.104 от 1993г.,1,,23.324578400000068,42.7026153,177.62997032571712,21.062781070847056,0.33,23.32454932331419,42.70253228935819,А-2,Зона на Старите Пазарища
73,"Административна сграда, б.жилищна на проф.Цанев свалена",Ул.”Св.св.  Кирил и Методий” №47,Оборище,,ДВ бр.40 от 1978г. №379,,архитектурно-строителен  ,местно,ДВ бр.104 от 1993г.,1,,23.324929004161504,42.702568268488115,-166.50349462415343,15.635354689045087,0.33,23.32484976387037,42.70247654675392,А-2,Зона на Старите Пазарища
